text,label,predicted,probabilities,confidence,is_correct
b脸啊,1,1,"[2.725741796893999e-05, 0.9999727010726929]",0.9999727010726929,True
不+尊重+人,1,1,"[3.7321497075026855e-05, 0.9999626874923706]",0.9999626874923706,True
我喜欢在午后晒太阳，享受温暖的阳光 ,0,0,"[0.9999204874038696, 7.949163409648463e-05]",0.9999204874038696,True
笑*死*个人,1,1,"[2.864432826754637e-05, 0.9999713897705078]",0.9999713897705078,True
sha不拉几,1,1,"[2.899510036513675e-05, 0.9999710321426392]",0.9999710321426392,True
团队协作高效协调共同进步 ,0,0,"[0.9999487400054932, 5.1259361498523504e-05]",0.9999487400054932,True
她经常参加公益活动，为社会做出自己的贡献，帮助那些需要帮助的人，传递爱心和正能量 ,0,0,"[0.9999209642410278, 7.908350380603224e-05]",0.9999209642410278,True
操你妈比,1,1,"[2.6563549909042194e-05, 0.9999734163284302]",0.9999734163284302,True
傻不拉几的,1,1,"[2.7165995561517775e-05, 0.9999728202819824]",0.9999728202819824,True
非常垃圾都有家，你却没有。,1,1,"[2.7886924726772122e-05, 0.9999721050262451]",0.9999721050262451,True
你就是莎士士比亚没有士,1,1,"[2.9388031180133112e-05, 0.999970555305481]",0.999970555305481,True
太事,1,1,"[3.342524360050447e-05, 0.9999666213989258]",0.9999666213989258,True
好+牛,1,1,"[2.664615931280423e-05, 0.9999732971191406]",0.9999732971191406,True
积极参与团队活动，增进同事感情 ,0,0,"[0.9999209642410278, 7.908154657343403e-05]",0.9999209642410278,True
真想把你你的头扭下来放在洗衣机里搅一搅，刚好能洗一缸衣服，虽然有点臭，但节约水资源刻不容缓。,1,1,"[3.558524986146949e-05, 0.9999643564224243]",0.9999643564224243,True
Medical risk management reduces risk occurrence. Medical risk management: medical risk management; risk occurrence: risk occurrence ,0,0,"[0.9999433755874634, 5.6576212955405936e-05]",0.9999433755874634,True
放心吧，不会有富婆看上你的，不过别伤心，也许富婆的狗会看上你，毕你长的很符合它的口味。,1,1,"[3.19357895932626e-05, 0.9999680519104004]",0.9999680519104004,True
最烦吧,1,1,"[2.9188802727730945e-05, 0.9999707937240601]",0.9999707937240601,True
您说的这个问题很重要 ,0,0,"[0.9998987913131714, 0.00010114179167430848]",0.9998987913131714,True
被人骂吧,1,1,"[3.0500483262585476e-05, 0.999969482421875]",0.999969482421875,True
真怎么着手剁家里了，不言语呢？人家爱情动作片还会嗯啊，那十二生肖里没有你，你属电线杆子的啊？,1,1,"[3.0175871870596893e-05, 0.9999698400497437]",0.9999698400497437,True
你好像那沸羊羊 三千多集还是个备胎,1,1,"[2.754401612037327e-05, 0.9999724626541138]",0.9999724626541138,True
Medical nursing management improves nursing quality. Medical nursing management: medical nursing management; nursing quality: nursing quality ,0,0,"[0.9999550580978394, 4.492850348469801e-05]",0.9999550580978394,True
医疗护理感染控制预防医院感染 ,0,0,"[0.9999213218688965, 7.862495840527117e-05]",0.9999213218688965,True
《采购管理方案》：规范采购流程，降低采购成本 ,0,0,"[0.9999129772186279, 8.698701276443899e-05]",0.9999129772186279,True
丫挺呢,1,1,"[2.827066600730177e-05, 0.9999717473983765]",0.9999717473983765,True
医院加强医院医疗服务质量改进活动的监督考核机制建设，加强对改进活动的监督考核 ,0,0,"[0.9999332427978516, 6.677093915641308e-05]",0.9999332427978516,True
我明白，他也是,0,0,"[0.9999309778213501, 6.906082853674889e-05]",0.9999309778213501,True
