text,label,predicted,probabilities,confidence,is_correct
Rehabilitation training enhances functional levels. Rehabilitation training: rehabilitation training; functional levels: functional levels ,0,0,"[0.9884151220321655, 0.011584828607738018]",0.9884151220321655,True
永远做你们的贴心小棉袄 ,0,0,"[0.9844141006469727, 0.015585953369736671]",0.9844141006469727,True
评论厨子做的菜好不好吃我还要先会做饭吗？,1,1,"[0.16019389033317566, 0.839806079864502]",0.839806079864502,True
我真的很想帮你治疗，但我是一名家庭医生，而你是一个孤儿。啊,1,0,"[0.9795237183570862, 0.020476309582591057]",0.9795237183570862,False
客户服务热情贴心提升形象 ,0,0,"[0.9761263132095337, 0.023873725906014442]",0.9761263132095337,True
太仔细看看我这巴掌真适合你那大脸,1,1,"[0.10327399522066116, 0.8967260122299194]",0.8967260122299194,True
记得-下点-调料-，-这样-你家-人-吃-起来-才-会-有-味道,1,0,"[0.9423828721046448, 0.05761709436774254]",0.9423828721046448,False
我真的很想帮你治疗，但我是一名家庭医生，而你是一个孤儿。了,1,0,"[0.9804742336273193, 0.019525723531842232]",0.9804742336273193,False
就是嫉妒我户口本可翻页（说他是孤儿）,1,1,"[0.025715414434671402, 0.9742845892906189]",0.9742845892906189,True
我真的很想帮你治疗，但但我是一名家庭医生，而你是一个孤儿。,1,0,"[0.9714540839195251, 0.028545944020152092]",0.9714540839195251,False
好坏淫,1,1,"[0.024089934304356575, 0.9759101271629333]",0.9759101271629333,True
医学研究应关注不同人群的健康需求和差异 ,0,0,"[0.9842920303344727, 0.01570802927017212]",0.9842920303344727,True
好特爱,1,0,"[0.9646940231323242, 0.035305920988321304]",0.9646940231323242,False
被分手吧,1,1,"[0.09058518707752228, 0.9094148278236389]",0.9094148278236389,True
二。大爷,1,1,"[0.01851845346391201, 0.9814815521240234]",0.9814815521240234,True
傻啊,1,1,"[0.016701562330126762, 0.9832983613014221]",0.9832983613014221,True
特别怂货,1,1,"[0.01539358776062727, 0.9846063852310181]",0.9846063852310181,True
