text,label,predicted,probabilities,confidence,is_correct
sb,1,1,"[0.00014362875663209707, 0.9998563528060913]",0.9998563528060913,True
撸主吧,1,1,"[0.0001085171097656712, 0.9998915195465088]",0.9998915195465088,True
参加学术会议，分享研究成果 ,0,0,"[0.9998767375946045, 0.0001232967188116163]",0.9998767375946045,True
雕塑作品展览艺术感十足展现创造力 ,0,0,"[0.9998753070831299, 0.00012466964835766703]",0.9998753070831299,True
纯爷们吧,1,1,"[8.507072197971866e-05, 0.9999148845672607]",0.9999148845672607,True
太欠抽,1,1,"[8.215596608351916e-05, 0.9999178647994995]",0.9999178647994995,True
感谢您的细心提醒 ,0,0,"[0.9998657703399658, 0.00013422290794551373]",0.9998657703399658,True
城外.三十里.火光冲天.烧.的.就是.你.飘零.的.骨灰,1,1,"[7.689807534916326e-05, 0.9999231100082397]",0.9999231100082397,True
请问您觉得这个方案可行吗? ,0,0,"[0.9998393058776855, 0.00016072228027042001]",0.9998393058776855,True
鄙视#你们,1,1,"[9.004266757983714e-05, 0.9999099969863892]",0.9999099969863892,True
伪摇啊,1,1,"[8.33165249787271e-05, 0.999916672706604]",0.999916672706604,True
特别小愤青,1,1,"[8.078100654529408e-05, 0.9999191761016846]",0.9999191761016846,True
点儿背了,1,1,"[0.00014061118417885154, 0.9998593330383301]",0.9998593330383301,True
傻成,1,1,"[0.00011051924229832366, 0.9998894929885864]",0.9998894929885864,True
伪摇,1,1,"[8.532094943802804e-05, 0.9999146461486816]",0.9999146461486816,True
字字温馨.写得很好 ,0,0,"[0.9998749494552612, 0.0001250934728886932]",0.9998749494552612,True
字字温馨.写得很好 ,0,0,"[0.9998749494552612, 0.0001250934728886932]",0.9998749494552612,True
妈-骂,1,1,"[8.144046296365559e-05, 0.9999185800552368]",0.9999185800552368,True
键盘 侠,1,1,"[0.00014116211968939751, 0.9998588562011719]",0.9998588562011719,True
真瓜批,1,1,"[0.00011744519724743441, 0.9998825788497925]",0.9998825788497925,True
“真希望你的脑子里都装的是电容，可惜，有些人偏偏装了电阻。”呢,1,1,"[7.432537677232176e-05, 0.9999256134033203]",0.9999256134033203,True
欠抽了,1,1,"[0.00011373693268978968, 0.9998862743377686]",0.9998862743377686,True
非常亮剑吧，我没的是素质，你没的是亲妈,1,1,"[7.281301077455282e-05, 0.9999271631240845]",0.9999271631240845,True
瓜批吧,1,1,"[0.00012556673027575016, 0.999874472618103]",0.999874472618103,True
点儿背啊,1,1,"[0.00012305242125876248, 0.9998769760131836]",0.9998769760131836,True
